Trial,Month,Day,Year,Time.Day,Location,Condition,Barefoot,Distance,Type,Speed,Time,Num_steps,SL,id
55,7,12,2017,9:10,CB,O,Y,20,W,N,19.83,33.5,0.6,uc10k
56,7,12,2017,9:10,CB,O,Y,20,W,F,12.67,25.5,0.78,uc10k
57,7,12,2017,9:10,CB,O,Y,20,W,N,20.51,34.5,0.58,uc10k
58,7,12,2017,9:10,CB,O,Y,20,R,N,10.16,26,0.77,uc10k
59,7,12,2017,9:10,CB,O,Y,20,R,F,7.25,19.5,1.03,uc10k
60,7,12,2017,9:10,CB,T,Y,15,W,N,13.67,23.5,0.64,uc10k
61,7,12,2017,9:10,CB,T,Y,15,W,S,17.02,26.25,0.57,uc10k
62,7,12,2017,9:10,CB,T,Y,15,W,F,9.77,19.5,0.77,uc10k
63,7,12,2017,9:10,CB,T,Y,15,R,N,7.08,18.5,0.81,uc10k
64,7,12,2017,9:10,CB,F,Y,14,W,N,16.7,25,0.56,uc10k
65,7,12,2017,9:10,CB,F,Y,14,W,N,16,25,0.56,uc10k
66,7,12,2017,9:10,CB,F,Y,14,W,F,20.44,27,0.52,uc10k
101,7,7,2017,9:50,CB,O,Y,20,W,N,20,34,0.59,f72y2
102,7,7,2017,9:50,CB,O,Y,20,W,S,25,40,0.5,f72y2
103,7,7,2017,9:50,CB,O,Y,20,R,N,10,26,0.77,f72y2
104,7,7,2017,9:50,CB,O,Y,20,W,F,18,32.5,0.62,f72y2
105,7,7,2017,9:50,CB,O,Y,20,R,F,10,25.5,0.78,f72y2
106,7,7,2017,9:50,CB,O,N,20,W,N,21.68,36,0.56,f72y2
107,7,7,2017,9:50,CB,O,N,20,W,S,24.05,40,0.5,f72y2
108,7,7,2017,9:50,CB,O,N,20,W,F,18.5,34.5,0.58,f72y2
109,7,7,2017,9:50,CB,O,N,20,R,N,8.28,23.5,0.85,f72y2
110,7,10,2017,10:10,CB,T,Y,15,W,S,18.22,28,0.54,f72y2
111,7,10,2017,10:10,CB,T,Y,15,W,F,7.85,22.5,0.67,f72y2
112,7,10,2017,10:10,CB,T,Y,15,W,N,15.42,25.5,0.59,f72y2
113,7,10,2017,10:10,CB,T,Y,15,R,N,7.6,21,0.71,f72y2
114,7,10,2017,10:10,CB,F,Y,14,W,N,22.87,24.25,0.58,f72y2
115,7,10,2017,10:10,CB,F,Y,14,W,N,19.84,23.5,0.6,f72y2
132,7,7,2017,9:08,CB,O,N,20,W,N,16,28,0.71,n5nx3
133,7,7,2017,9:08,CB,O,N,20,W,S,18,30.5,0.66,n5nx3
134,7,7,2017,9:08,CB,O,N,20,W,F,12,25,0.8,n5nx3
135,7,7,2017,9:08,CB,O,N,20,R,N,7,20.5,0.98,n5nx3
136,7,7,2017,9:08,CB,O,N,20,R,F,6,17.5,1.14,n5nx3
